port_name,year,month,num_of_ship,num_of_delay,total_congestion_time,act,aact,acr
Busan,2020,4,1114,68,1620.200303,1.45439883572711,23.82647504411765,0.0610412926391382
Busan,2020,5,1118,63,1899.0655286,1.698627485330948,30.14389727936508,0.0563506261180679
Busan,2020,6,1084,81,1364.173603,1.258462733394834,16.84164941975309,0.0747232472324723
Busan,2020,7,1142,108,1800.9505577,1.577014498861646,16.67546812685185,0.0945709281961471
Busan,2020,8,1133,87,1721.261676,1.519207127978817,19.78461696551724,0.0767872903795233
Busan,2020,9,980,116,3087.9213855,3.150940189285714,26.62001194396552,0.1183673469387755
Busan,2020,10,1074,92,1577.8677661,1.469150620204842,17.15073658804348,0.0856610800744879
Busan,2020,11,1074,92,1579.7827925,1.470933698789572,17.17155209239131,0.0856610800744879
Busan,2020,12,1102,84,1331.8683437,1.208591963430127,15.85557552023809,0.0762250453720508
Busan,2021,1,992,82,1582.430605,1.595192142137097,19.29793420731707,0.0826612903225806
Busan,2021,2,904,80,1884.1736234,2.084262857743363,23.5521702925,0.0884955752212389
Busan,2021,3,1053,94,1457.3591585,1.384006798195631,15.50382083510638,0.0892687559354226
Busan,2021,4,1021,63,1057.9366668,1.036176950832517,16.7926455047619,0.0617042115572967
Busan,2021,5,1080,73,1262.0291685,1.168545526388889,17.28807080136986,0.0675925925925925
Busan,2021,6,1015,82,1569.183613,1.545993707389163,19.13638552439024,0.0807881773399014
Busan,2021,7,992,91,1609.3361434,1.622314660685484,17.68501256483517,0.0917338709677419
Busan,2021,8,972,96,2282.862771,2.34862425,23.77982053125,0.0987654320987654
